game_type,match_number,initial_number,player1_agent,player2_agent,winner,total_moves,player1_computation_time,player2_computation_time
Halving Game,16,14.0,Minimax AI,Minimax AI,-1,6,0.0238800048828125,0.04437828063964844
Halving Game,17,13.0,Minimax AI,Minimax AI,1,5,0.03803896903991699,0.024489879608154297
Halving Game,7,11.0,Minimax AI,Minimax AI,1,7,0.06533932685852051,0.04852938652038574
Halving Game,11,18.0,Minimax AI,Minimax AI,-1,8,0.06920838356018066,0.04883885383605957
Halving Game,24,10.0,Minimax AI,Minimax AI,-1,4,0.032692670822143555,0.03499197959899902
Halving Game,18,17.0,Minimax AI,Minimax AI,1,7,0.06153583526611328,0.03554725646972656
Halving Game,21,13.0,Minimax AI,Minimax AI,1,5,0.05622363090515137,0.03443598747253418
Halving Game,19,14.0,Minimax AI,Minimax AI,-1,6,0.04416394233703613,0.05062699317932129
Halving Game,25,10.0,Minimax AI,Minimax AI,-1,4,0.03307175636291504,0.04458737373352051
Halving Game,23,12.0,Minimax AI,Minimax AI,1,5,0.05128908157348633,0.03499197959899902
Halving Game,20,14.0,Minimax AI,Minimax AI,-1,6,0.05421805381774902,0.05044698715209961
Halving Game,22,18.0,Minimax AI,Minimax AI,-1,6,0.04908132553100586,0.056231021881103516
Halving Game,30,17.0,Minimax AI,Minimax AI,1,5,0.0464320182800293,0.03383922576904297
Halving Game,31,20.0,Minimax AI,Minimax AI,1,5,0.04029202461242676,0.033854007720947266
Halving Game,28,15.0,Minimax AI,Minimax AI,1,7,0.055039167404174805,0.05182814598083496
Halving Game,32,18.0,Minimax AI,Minimax AI,-1,6,0.040039777755737305,0.03807806968688965
Halving Game,33,17.0,Minimax AI,Minimax AI,1,5,0.04325151443481445,0.026271343231201172
Halving Game,36,11.0,Minimax AI,Minimax AI,1,5,0.04883408546447754,0.02023148536682129
Halving Game,26,19.0,Minimax AI,Minimax AI,1,9,0.08368372917175293,0.05864691734313965
Halving Game,37,11.0,Minimax AI,Minimax AI,1,5,0.04813075065612793,0.0259249210357666
Halving Game,27,19.0,Minimax AI,Minimax AI,1,9,0.08011531829833984,0.06385445594787598
Halving Game,35,18.0,Minimax AI,Minimax AI,-1,6,0.04523134231567383,0.04817366600036621
Halving Game,29,20.0,Minimax AI,Minimax AI,1,9,0.08646345138549805,0.06774306297302246
Halving Game,38,14.0,Minimax AI,Minimax AI,-1,6,0.05205965042114258,0.04628777503967285
Halving Game,39,11.0,Minimax AI,Minimax AI,1,7,0.06020808219909668,0.046784162521362305
Halving Game,40,17.0,Minimax AI,Minimax AI,1,7,0.057695865631103516,0.04884052276611328
Halving Game,42,14.0,Minimax AI,Minimax AI,-1,6,0.04883384704589844,0.0469205379486084
Halving Game,41,11.0,Minimax AI,Minimax AI,1,7,0.06024456024169922,0.04747748374938965
Halving Game,34,20.0,Minimax AI,Minimax AI,1,9,0.07813119888305664,0.06590127944946289
Halving Game,43,20.0,Minimax AI,Minimax AI,1,7,0.058872222900390625,0.04977273941040039
Halving Game,47,13.0,Minimax AI,Minimax AI,1,5,0.04724407196044922,0.031594038009643555
Halving Game,44,19.0,Minimax AI,Minimax AI,1,7,0.05797147750854492,0.049138784408569336
Halving Game,53,10.0,Minimax AI,Minimax AI,-1,4,0.022579193115234375,0.027679443359375
Halving Game,45,15.0,Minimax AI,Minimax AI,1,7,0.062381744384765625,0.045770883560180664
Halving Game,48,18.0,Minimax AI,Minimax AI,-1,6,0.051576852798461914,0.0411226749420166
Halving Game,49,14.0,Minimax AI,Minimax AI,-1,6,0.04872941970825195,0.04158782958984375
Halving Game,51,15.0,Minimax AI,Minimax AI,1,7,0.0485992431640625,0.037813425064086914
Halving Game,57,13.0,Minimax AI,Minimax AI,1,5,0.03622245788574219,0.01750779151916504
Halving Game,46,19.0,Minimax AI,Minimax AI,1,9,0.07837581634521484,0.0521845817565918
Halving Game,50,20.0,Minimax AI,Minimax AI,1,9,0.0627293586730957,0.052695274353027344
Halving Game,55,16.0,Minimax AI,Minimax AI,1,7,0.05248594284057617,0.0265960693359375
Halving Game,60,12.0,Minimax AI,Minimax AI,1,5,0.03489279747009277,0.018688440322875977
Halving Game,56,15.0,Minimax AI,Minimax AI,1,7,0.0506131649017334,0.02918267250061035
Halving Game,52,19.0,Minimax AI,Minimax AI,1,9,0.07192134857177734,0.04233407974243164
Halving Game,61,13.0,Minimax AI,Minimax AI,1,5,0.0486760139465332,0.01069021224975586
Halving Game,58,16.0,Minimax AI,Minimax AI,1,7,0.052581787109375,0.026777267456054688
Halving Game,54,20.0,Minimax AI,Minimax AI,1,9,0.05599188804626465,0.054915666580200195
Halving Game,64,14.0,Minimax AI,Minimax AI,-1,6,0.028127670288085938,0.04066014289855957
Halving Game,62,11.0,Minimax AI,Minimax AI,1,7,0.05693173408508301,0.026137828826904297
Halving Game,66,20.0,Minimax AI,Minimax AI,1,5,0.04268527030944824,0.019935131072998047
Halving Game,63,16.0,Minimax AI,Minimax AI,1,7,0.05337858200073242,0.02962017059326172
Halving Game,67,16.0,Minimax AI,Minimax AI,1,5,0.036420583724975586,0.026411056518554688
Halving Game,59,11.0,Minimax AI,Minimax AI,1,9,0.049893856048583984,0.05409646034240723
Halving Game,68,12.0,Minimax AI,Minimax AI,1,5,0.03027057647705078,0.031934261322021484
Halving Game,65,10.0,Minimax AI,Minimax AI,-1,8,0.036978960037231445,0.05453610420227051
Halving Game,70,13.0,Minimax AI,Minimax AI,1,5,0.04230856895446777,0.022059202194213867
Halving Game,72,20.0,Minimax AI,Minimax AI,1,5,0.04451155662536621,0.02068638801574707
Halving Game,73,13.0,Minimax AI,Minimax AI,1,5,0.04041552543640137,0.023014068603515625
Halving Game,71,14.0,Minimax AI,Minimax AI,-1,6,0.045970916748046875,0.03665494918823242
Halving Game,74,14.0,Minimax AI,Minimax AI,-1,6,0.04285693168640137,0.0381169319152832
Halving Game,76,12.0,Minimax AI,Minimax AI,1,5,0.04377245903015137,0.032141923904418945
Halving Game,78,12.0,Minimax AI,Minimax AI,1,5,0.03837084770202637,0.02936267852783203
Halving Game,69,18.0,Minimax AI,Minimax AI,-1,8,0.05748701095581055,0.0636749267578125
Halving Game,80,16.0,Minimax AI,Minimax AI,1,5,0.054907798767089844,0.032507896423339844
Halving Game,82,12.0,Minimax AI,Minimax AI,1,5,0.051622629165649414,0.03918766975402832
Halving Game,83,17.0,Minimax AI,Minimax AI,1,5,0.04977917671203613,0.044492244720458984
Halving Game,81,10.0,Minimax AI,Minimax AI,-1,6,0.05725836753845215,0.05612039566040039
Halving Game,75,19.0,Minimax AI,Minimax AI,1,9,0.07996249198913574,0.06617259979248047
Halving Game,79,11.0,Minimax AI,Minimax AI,1,7,0.0690619945526123,0.05426192283630371
Halving Game,86,12.0,Minimax AI,Minimax AI,1,5,0.0659189224243164,0.03355717658996582
Halving Game,77,18.0,Minimax AI,Minimax AI,-1,8,0.06785178184509277,0.07159709930419922
Halving Game,84,19.0,Minimax AI,Minimax AI,1,7,0.05875134468078613,0.0646977424621582
Halving Game,85,19.0,Minimax AI,Minimax AI,1,7,0.06805944442749023,0.05135393142700195
Halving Game,87,15.0,Minimax AI,Minimax AI,1,7,0.07128429412841797,0.043303489685058594
Halving Game,95,16.0,Minimax AI,Minimax AI,1,5,0.024300098419189453,0.026413679122924805
Halving Game,89,19.0,Minimax AI,Minimax AI,1,7,0.04837679862976074,0.05106616020202637
Halving Game,91,19.0,Minimax AI,Minimax AI,1,7,0.0495142936706543,0.045354366302490234
Halving Game,90,15.0,Minimax AI,Minimax AI,1,7,0.06954550743103027,0.03269839286804199
Halving Game,96,12.0,Minimax AI,Minimax AI,1,5,0.03806328773498535,0.011880874633789062
